역명,degree,betweenness,closeness,pagerank,환승역,호선수,혼잡도,군집,z_betweenness,z_pagerank,z_혼잡도,BI_매개혼잡,CHI_영향력혼잡
잠원,0.008333333333333333,0.0708089260808926,0.08409250175192712,0.003691544446535739,False,1,41.080769230769235,3,0.2838643793522994,-0.45562270443600383,0.5558121052801879,0.8396764846324873,0.10018940084418404
고속터미널,0.016666666666666666,0.13087807996280798,0.08507621410847217,0.006794369637427922,True,2,45.05769230769231,1,1.5892264747294593,2.507597794504717,0.8871501085760151,2.4763765833054743,3.394747903080732
남부터미널,0.008333333333333333,0.06567962575546261,0.07954922108054359,0.0037229023300008866,False,1,35.18461538461539,0,0.17239961269711532,-0.4256756989262925,0.0645730733145171,0.2369726860116324,-0.36110262561177536
양재,0.008333333333333333,0.0597172826592283,0.07528230865746549,0.0039077046628759,False,1,29.20256410256411,0,0.04283200312568853,-0.24918813442065357,-0.4338225177165375,-0.390990514590849,-0.683010652137191
매봉,0.008333333333333333,0.054004823337982365,0.07149240393208221,0.0040069201171557605,False,1,25.16794871794872,3,-0.081305384991965,-0.1544366579930486,-0.7699671651607579,-0.851272550152723,-0.9244038231538065
도곡,0.008333333333333333,0.04876307531380756,0.06853226727584237,0.004055728397516101,False,1,22.73461538461538,3,-0.195213751301348,-0.10782439723587034,-0.9727007339084954,-1.1679144852098435,-1.0805251311443658
대치,0.008333333333333333,0.044599895397489556,0.06624344465912227,0.004071943146794494,False,1,20.01538461538462,3,-0.2856837664056076,-0.09233919439945108,-1.1992538947693752,-1.4849376611749827,-1.2915930891688263
학여울,0.008333333333333333,0.041645455602045536,0.06472491909385113,0.004060072035965019,False,1,18.871794871794876,3,-0.34988666377998795,-0.1036761911011515,-1.294532263221947,-1.644418927001935,-1.3982084543230984
대청,0.008333333333333333,0.03938778475127846,0.06354249404289118,0.004017611432001141,False,1,17.88717948717949,3,-0.39894808319372976,-0.1442263749892058,-1.3765656566878386,-1.7755137398815684,-1.5207920316770445
일원,0.008333333333333333,0.039053637842863774,0.06340819022457067,0.003927659421738813,False,1,16.04358974358975,3,-0.40620942583540315,-0.2301311953808484,-1.5301646408075678,-1.936374066642971,-1.7602958361884162
수서,0.008333333333333333,0.041276441190144106,0.064464141821112,0.0037603763722138654,False,1,14.617948717948716,0,-0.3579057117407924,-0.3898877175763863,-1.6489421584300574,-2.0068478701708496,-2.0388298760064436
가락시장,0.016666666666666666,0.18481258716875892,0.06624344465912227,0.006910242303181471,True,2,54.15641025641027,1,2.7612766334164918,2.6182570283654214,1.6452112979346523,4.406487931351144,4.263468326300074
경찰병원,0.008333333333333333,0.08817962575546279,0.06266318537859007,0.0036376382497512625,False,1,9.020512820512822,2,0.6613468551324504,-0.5071035122496605,-2.115293455138498,-1.4539466000060475,-2.622396967388158
오금,0.0125,0.08333304277080446,0.0594500866980431,0.005458529281737817,True,2,20.81538461538461,0,0.5560258157732199,1.231860593159194,-1.132601762578339,-0.5765759468051193,0.09925883058085483
불암산,0.004166666666666667,0.0,0.05279366476022877,0.0024450699748188825,False,1,5.87051282051282,2,-1.2548835827392406,-1.6460148402352004,-2.3777362256407057,-3.632619808379946,-4.023751065875906
상계,0.008333333333333333,0.008333333333333333,0.05572324123519851,0.004289431025701196,False,1,9.396153846153847,2,-1.0737920114668957,0.11536330296946096,-2.083996861016745,-3.157788872483641,-1.968633558047284
노원,0.016666666666666666,0.06512203626220361,0.05896805896805897,0.007472893305720554,True,2,21.9,1,0.16028264180200857,3.155592805246219,-1.0422368525885675,-0.8819542107865589,2.1133559526576517
창동,0.008333333333333333,0.0489783821478382,0.05986530306809678,0.0039157711159085225,False,1,21.435897435897427,2,-0.19053492095571406,-0.24148461343269303,-1.0809036344045222,-1.2714385553602363,-1.3223882478372153
쌍문,0.008333333333333333,0.05189853556485357,0.06094464195022854,0.004011016745702761,False,1,27.439743589743593,1,-0.12707710047847964,-0.15052434810119592,-0.5806922000285183,-0.7077693005069979,-0.7312165481297142
수유,0.008333333333333333,0.05657949790794982,0.06334125098970704,0.0040588819611963416,False,1,31.617948717948728,1,-0.025355161385122376,-0.10481272111262872,-0.23258434937052208,-0.2579395107556445,-0.3373970704831508
미아,0.008333333333333333,0.06269874476987453,0.06655574043261231,0.004073405658481593,False,1,34.529487179487184,1,0.10762212212239496,-0.0909424851604413,0.00999095865166459,0.11761308077405955,-0.08095152650877671
미아사거리,0.008333333333333333,0.06914923291492334,0.0701549254603917,0.004062374390203759,False,1,36.90256410256409,1,0.24779760616165766,-0.10147742615103984,0.20770425462219108,0.45550186078384874,0.10622682847115124
길음,0.008333333333333333,0.07566945606694557,0.07421150278293136,0.004019450311189951,False,1,39.79487179487178,1,0.389488500839181,-0.1424702320639286,0.4486773479282473,0.8381658487674284,0.3062071158643187
성신여대입구,0.008333333333333333,0.08225941422594141,0.07881773399014778,0.003931707213467592,False,1,43.856410256410264,1,0.5326948061549689,-0.22626552500361657,0.7870650959750518,1.3197599021300208,0.5607995709714353
한성대입구,0.008333333333333333,0.08891910739191072,0.08409250175192712,0.003766254591592657,False,1,46.551282051282065,3,0.6774165221090186,-0.3842739755545557,1.011588784862167,1.6890053069711857,0.6273148093076113
혜화,0.008333333333333333,0.09572408182240816,0.09019165727170236,0.0034662999316188783,False,1,49.97307692307692,3,0.8252953435594479,-0.6707328452956257,1.2966761900190202,2.121971533578468,0.6259433447233945
명동,0.008333333333333333,0.020513714551371433,0.09302325581395349,0.003230194694341109,False,1,39.332051282051296,3,-0.8091002866504142,-0.8962150545616843,0.4101173804267042,-0.39898290622371,-0.48609767413498006
회현,0.008333333333333333,0.01755578800557882,0.0894854586129754,0.00333582419105944,False,1,37.07948717948719,3,-0.873378954556706,-0.7953381212148369,0.22244463001059506,-0.650934324546111,-0.5728934912042418
숙대입구,0.008333333333333333,0.04361924686192473,0.0855614973262032,0.003363250366429083,False,1,26.932051282051287,3,-0.30699422850617053,-0.769145925372988,-0.6229906685343685,-0.929984897040539,-1.3921365939073564
삼각지,0.016666666666666666,0.09812794713422342,0.0852575488454707,0.0065885730828007805,True,2,29.760256410256407,0,0.8775337131326931,2.311060596382005,-0.38735829094874835,0.4901754221839448,1.9237023054332567
신용산,0.008333333333333333,0.07528740785016938,0.08278716798896171,0.0036443243823275,False,1,28.329487179487185,3,0.3811862154138453,-0.5007182072809184,-0.5065630658288713,-0.12537685041502605,-1.0072812731097898
이촌,0.008333333333333333,0.07333482765491134,0.0814111261872456,0.00381577935790627,False,1,29.17179487179488,3,0.3387547175425004,-0.3369774655299125,-0.43638606126234664,-0.09763134371984622,-0.7733635267922592
동작,0.008333333333333333,0.07215804941223351,0.08050989600805099,0.003869317223426214,False,1,30.397435897435905,0,0.31318216302182406,-0.2858484167378946,-0.3342715766876171,-0.021089413665793033,-0.6201199934255117
