호선,역명_표준,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,아침첨두_평균,저녁첨두_평균,낮시간_평균,전체_평균,최대혼잡도,최대혼잡시간,첨두_집중도
4호선,한성대입구,20.7,21.85,17.525,19.049999999999997,23.6,34.3,39.849999999999994,48.800000000000004,47.7,48.475,49.875,49.6,46.8,38.15,44.975,41.075,44.325,38.625,44.925,39.675,48.375,44.6,50.5,48.900000000000006,44.275,49.825,43.525,40.45,41.55,38.675000000000004,38.2,42.95,35.075,35.775,35.475,34.824999999999996,25.325,0.0,0.0,36.6375,43.837500000000006,42.13125,37.38910256410257,50.5,16시30분,1.9101023133635413
4호선,혜화,22.85,22.125,17.425,19.025,22.674999999999997,34.225,40.099999999999994,48.725,49.099999999999994,49.974999999999994,49.824999999999996,51.474999999999994,48.65,39.0,46.45,39.95,47.025,39.375,47.0,42.65,53.875,49.45,57.849999999999994,54.974999999999994,54.175,54.825,49.55,46.4,49.8,48.075,45.675,56.275,45.1,44.325,43.5,44.55,25.45,0.0,0.0,36.43125,50.14375,43.10625,41.06346153846154,57.849999999999994,16시30분,2.0084094067934597
4호선,회현,10.85,15.125,10.875,12.8,15.725000000000001,22.575,28.85,35.15,37.825,39.175,43.8,44.525,45.325,39.875,44.375,40.45,44.575,39.825,43.325,43.150000000000006,49.35,48.575,51.900000000000006,53.15,49.775,51.425,44.525000000000006,42.45,40.675,37.15,37.225,41.025,33.8,32.324999999999996,27.950000000000003,33.85,20.425,0.0,0.0,25.575000000000003,44.76875,42.31875,34.71153846153846,53.15,17시00분,1.6622359672193538
5호선,강동,9.15,11.233333333333334,9.183333333333334,12.799999999999999,15.833333333333334,22.566666666666666,25.316666666666666,33.766666666666666,27.383333333333336,32.483333333333334,38.38333333333333,36.98333333333333,33.949999999999996,40.016666666666666,43.666666666666664,41.36666666666667,41.78333333333333,46.65,38.6,40.06666666666667,44.96666666666667,41.31666666666667,39.449999999999996,43.449999999999996,30.883333333333336,31.383333333333336,32.61666666666667,28.150000000000002,24.71666666666667,24.5,30.383333333333336,24.95,27.45,27.216666666666665,21.083333333333332,15.049999999999999,13.416666666666666,2.1166666666666667,0.0,24.370833333333334,29.21666666666667,41.708333333333336,28.31495726495727,46.65,14시00분,1.284815154010426
5호선,강일,16.425,11.75,10.175,11.3,14.025,21.575,22.525,28.125,29.775,29.15,28.9,28.425,27.174999999999997,29.575,29.475,29.425,29.9,29.6,26.125,30.375,31.725,33.975,30.725,30.35,27.675,31.075,26.875,26.674999999999997,21.525,19.799999999999997,18.3,18.45,17.925,20.15,16.65,14.950000000000001,15.25,0.0,0.0,21.5625,26.5375,29.59375,22.71474358974359,33.975,16시00분,1.6253431340961138
5호선,개롱,6.625,6.05,5.4,6.25,9.15,12.5,13.375,15.524999999999999,16.15,17.2,16.225,16.75,15.350000000000001,16.775,15.5,18.475,16.7,15.5,15.175,15.375,14.575,16.25,15.65,16.925,12.75,13.875,11.875,10.9,9.525,9.8,9.3,8.625,7.95,8.649999999999999,7.65,5.925,4.225,0.0,0.0,12.6375,11.54375,16.8625,11.653846153846152,18.475,13시00분,1.4340251188124464
5호선,개화산,3.075,1.775,1.6,2.075,2.3,3.175,3.375,4.275,4.625,4.35,4.225,4.300000000000001,4.425,4.375,4.525,4.45,4.375,4.5,4.275,4.4,4.375,4.275,4.5,4.225,3.875,3.675,3.275,2.9,2.45,2.15,2.325,2.175,2.15,2.05,1.575,1.25,1.175,0.65,0.0,3.28125,3.075,4.43125,3.1673076923076935,4.625,9시30분,1.434414344843025
5호선,거여,5.0249999999999995,4.275,3.775,4.5,6.35,8.575000000000001,9.325,11.1,11.399999999999999,11.375,11.3,11.55,10.1,11.325,10.0,11.7,10.5,9.725,9.275,8.775,9.275,9.3,8.85,9.725,7.15,7.3,6.025,5.625,5.175,4.975,4.3,4.375,3.75,4.475,3.975,3.1,1.975,1.6,0.0,8.8375,6.03125,10.88125,7.202564102564106,11.7,13시00분,1.3664559341568356
5호선,고덕,14.6,9.1,14.875,16.45,18.900000000000002,25.275000000000002,30.75,38.35,34.525,40.675,39.725,40.125,39.550000000000004,42.199999999999996,41.699999999999996,41.625,41.65,42.0,38.325,44.425,43.8,47.8,44.2,44.775,40.45,38.775,35.175,32.2,29.8,26.725,26.2,26.9,25.95,27.375,22.5,21.175,13.925,3.1,0.0,28.31875,33.9875,41.793749999999996,30.91410256410256,47.8,16시00분,1.4908030150249019
5호선,공덕,16.5,17.275,12.1,10.775,13.2,18.275,20.825,26.25,28.125,30.575,33.225,33.0,34.575,33.45,38.175,37.075,36.975,37.45,38.6,37.550000000000004,38.975,42.275,41.75,42.425000000000004,37.3,33.225,30.075,27.025,24.075,24.049999999999997,23.975,24.05,20.75,20.4,17.85,17.0,9.85,0.0,0.0,19.6375,28.599999999999998,36.41875,26.385256410256407,42.425000000000004,17시00분,1.3245237322938395
